a;b
2;0
3;1
4;2
7;3
8;4
11;5
12;6
13;7
14;8
17;9
19;10
21;11
22;12
23;13
24;14
28;15
29;16
30;17
31;18
32;19
37;20
39;21
40;22
41;23
42;24
43;25
44;26
45;27
46;28
47;29
48;30
49;31
50;32
51;33
53;34
54;35
55;36
56;37
57;38
58;39
59;40
60;41
61;42
62;43
65;44
66;45
67;46
68;47
70;48
71;49
72;50
73;51
74;52
75;53
76;54
78;55
79;56
80;57
81;58
82;59
83;60
84;61
85;62
87;63
88;64
89;65
90;66
91;67
92;68
93;69
94;70
95;71
96;72
97;73
99;74
100;75
101;76
102;77
103;78
104;79
105;80
106;81
107;82
109;83
110;84
111;85
112;86
113;87
115;88
117;89
118;90
119;91
120;92
121;93
122;94
123;95
124;96
125;97
126;98
127;99
128;100
129;101
130;102
131;103
132;104
134;105
135;106
137;107
138;108
139;109
140;110
141;111
143;112
144;113
145;114
147;115
148;116
149;117
150;118
151;119
152;120
153;121
154;122
155;123
156;124
157;125
158;126
159;127
160;128
162;129
163;130
166;131
167;132
169;133
170;134
171;135
172;136
173;137
174;138
175;139
176;140
178;141
179;142
180;143
181;144
182;145
183;146
184;147
185;148
186;149
187;150
188;151
190;152
191;153
192;154
193;155
194;156
195;157
196;158
197;159
198;160
199;161
200;162
201;163
202;164
203;165
204;166
205;167
206;168
208;169
209;170
210;171
211;172
212;173
213;174
214;175
215;176
217;177
220;178
221;179
222;180
223;181
224;182
225;183
226;184
228;185
229;186
230;187
231;188
232;189
233;190
234;191
235;192
236;193
237;194
238;195
239;196
240;197
241;198
242;199
243;200
244;201
245;202
246;203
248;204
249;205
250;206
252;207
253;208
254;209
255;210
256;211
257;212
258;213
259;214
260;215
261;216
262;217
264;218
266;219
267;220
268;221
269;222
270;223
273;224
274;225
275;226
276;227
278;228
279;229
280;230
281;231
282;232
283;233
284;234
285;235
287;236
288;237
289;238
290;239
291;240
293;241
294;242
295;243
296;244
297;245
298;246
300;247
301;248
302;249
303;250
304;251
305;252
306;253
308;254
309;255
310;256
311;257
312;258
313;259
314;260
315;261
316;262
317;263
318;264
320;265
321;266
322;267
323;268
324;269
325;270
326;271
328;272
329;273
330;274
331;275
332;276
334;277
335;278
336;279
337;280
338;281
339;282
340;283
341;284
342;285
343;286
344;287
345;288
346;289
347;290
348;291
349;292
350;293
351;294
352;295
353;296
355;297
356;298
357;299
358;300
359;301
360;302
361;303
362;304
363;305
365;306
366;307
367;308
368;309
369;310
370;311
371;312
372;313
373;314
374;315
